#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20:54:11       3    147     68      -     96     17      0      0      -      -   3615   1531  10485      2      0 
 20:54:41       0    144     74      -     93     17      0      0      -      -   3615   1531  10485      2      0 
 20:54:41       1    142     72      -     93     18      0      0      -      -   3615   1531  10485      2      0 
 20:54:41       2    162     70      -     96     17      0      0      -      -   3615   1531  10485      2      0 
 20:54:41       3    155     67      -     95     18      0      0      -      -   3615   1531  10485      2      0 
 20:55:11       0    169     73      -     94     16      0      0      -      -   3615   1531  10485      2      0 
 20:55:11       1    158     72      -     93     17      0      0      -      -   3615   1531  10485      2      0 
 20:55:11       2    138     70      -     96     17      0      0      -      -   3615   1531  10485      2      0 
 20:55:11       3    159     67      -     96     15      0      0      -      -   3615   1531  10485      2      0 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20:55:41       0    149     73      -     93     17      0      0      -      -   3615   1531  10485      2      0 
 20:55:41       1    160     71      -     94     15      0      0      -      -   3615   1531  10485      2      0 
 20:55:41       2    163     69      -     96     17      0      0      -      -   3615   1531  10485      2      0 
 20:55:41       3    164     66      -     96     16      0      0      -      -   3615   1531  10485      2      0 
 20:56:11       0    175     72      -     95     13      0      0      -      -   3615   1531  10485      2      0 
 20:56:11       1    182     71      -     94     16      0      0      -      -   3615   1531  10485      2      0 
 20:56:11       2    176     69      -     96     17      0      0      -      -   3615   1531  10485      2      0 
 20:56:11       3    165     66      -     96     15      0      0      -      -   3615   1531  10485      2      0 
 20:56:42       0    178     72      -     96     13      0      0      -      -   3615   1531  10485      2      0 
 20:56:42       1    180     70      -     95     14      0      0      -      -   3615   1531  10485      2      0 
 20:56:42       2    173     69      -     96     16      0      0      -      -   3615   1531  10485      2      0 
 20:56:42       3    164     66      -     97     14      0      0      -      -   3615   1531  10485      2      0 
 20:57:12       0    145     72      -     95     14      0      0      -      -   3615   1531  10485      2      0 
 20:57:12       1    130     70      -     95     13      0      0      -      -   3615   1531  10485      2      0 
 20:57:12       2    134     68      -     96     15      0      0      -      -   3615   1531  10485      2      0 
 20:57:12       3    153     65      -     96     13      0      0      -      -   3615   1531  10485      2      0 
 20:57:42       0    157     71      -     94     15      0      0      -      -   3615   1531  10485      2      0 
 20:57:42       1    143     70      -     94     15      0      0      -      -   3615   1531  10485      2      0 
 20:57:42       2    138     68      -     96     15      0      0      -      -   3615   1531  10485      2      0 
 20:57:42       3    140     65      -     96     15      0      0      -      -   3615   1531  10485      2      0 
 20:58:12       0    150     71      -     94     15      0      0      -      -   3615   1531  10485      2      0 
 20:58:12       1    143     70      -     95     15      0      0      -      -   3615   1531  10485      2      0 
 20:58:12       2    130     68      -     97     15      0      0      -      -   3615   1531  10485      2      0 
 20:58:12       3    135     65      -     97     15      0      0      -      -   3615   1531  10485      2      0 
 20:58:42       0    179     71      -     96     13      0      0      -      -   3615   1531  10485      2      0 
 20:58:42       1    183     70      -     96     13      0      0      -      -   3615   1531  10485      2      0 
 20:58:42       2    183     69      -     97     13      0      0      -      -   3615   1531  10485      2      0 
 20:58:42       3    177     66      -     97     13      0      0      -      -   3615   1531  10485      2      0 
 20:59:12       0     68     71      -     95     15      0      0      -      -   3615   1531  10485      2      0 
 20:59:12       1     69     70      -     95     14      0      0      -      -   3615   1531  10485      2      0 
 20:59:12       2     73     68      -     97     14      0      0      -      -   3615   1531  10485      2      0 
 20:59:12       3     66     65      -     96     15      0      0      -      -   3615   1531  10485      2      0 
 20:59:42       0    141     71      -     95     14      0      0      -      -   3615   1531  10485      2      0 
 20:59:42       1    142     70      -     94     13      0      0      -      -   3615   1531  10485      2      0 
 20:59:42       2    126     69      -     96     13      0      0      -      -   3615   1531  10485      2      0 
 20:59:42       3    142     66      -     97     13      0      0      -      -   3615   1531  10485      2      0 
 21:00:12       0    174     71      -     96     13      0      0      -      -   3615   1531  10485      2      0 
 21:00:12       1    180     70      -     95     13      0      0      -      -   3615   1531  10485      2      0 
 21:00:12       2    179     68      -     97     13      0      0      -      -   3615   1531  10485      2      0 
 21:00:12       3    177     66      -     96     13      0      0      -      -   3615   1531  10485      2      0 
 21:00:42       0    179     72      -     95     13      0      0      -      -   3615   1531  10485      2      0 
 21:00:42       1    182     70      -     95     13      0      0      -      -   3615   1531  10485      2      0 
 21:00:42       2    181     69      -     97     13      0      0      -      -   3615   1531  10485      2      0 
 21:00:42       3    169     66      -     97     13      0      0      -      -   3615   1531  10485      2      0 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 21:01:12       0    179     71      -     96     13      0      0      -      -   3615   1531  10485      2      0 
 21:01:12       1    185     70      -     95     13      0      0      -      -   3615   1531  10485      2      0 
 21:01:12       2    183     69      -     97     13      0      0      -      -   3615   1531  10485      2      0 
 21:01:12       3    180     66      -     97     13      0      0      -      -   3615   1531  10485      2      0 
 21:01:42       0    141     72      -     96     13      0      0      -      -   3615   1531  10485      2      0 
 21:01:42       1    173     70      -     96     12      0      0      -      -   3615   1531  10485      2      0 
 21:01:42       2    151     69      -     97     13      0      0      -      -   3615   1531  10485      2      0 
 21:01:42       3    131     66      -     97     13      0      0      -      -   3615   1531  10485      2      0 
 21:02:12       0    144     70      -     73      6      0      0      -      -   3615   1531  10485      2      0 
 21:02:12       1    129     69      -     73      6      0      0      -      -   3615   1531  10485      2      0 
 21:02:12       2    126     68      -     77      7      0      0      -      -   3615   1531  10485      2      0 
 21:02:12       3    134     65      -     78      6      0      0      -      -   3615   1531  10485      2      0 
 21:02:42       0    180     71      -     96     12      0      0      -      -   3615   1531  10485      2      0 
 21:02:42       1    186     70      -     95     13      0      0      -      -   3615   1531  10485      2      0 
 21:02:42       2    184     69      -     97     12      0      0      -      -   3615   1531  10485      2      0 
 21:02:42       3    181     66      -     96     13      0      0      -      -   3615   1531  10485      2      0 
 21:03:12       0     65     68      -      0      0      0      0      -      -   3615   1531  10491      2      0 
 21:03:12       1     66     67      -      0      0      0      0      -      -   3615   1531  10491      2      0 
 21:03:12       2     69     67      -      0      0      0      0      -      -   3615   1531  10491      2      0 
 21:03:12       3     64     64      -      0      0      0      0      -      -   3615   1531  10491      2      0 
 21:03:42       0    145     68      -     92     19      0      0      -      -   3615   1531  10491      2      0 
 21:03:42       1    128     67      -     92     19      0      0      -      -   3615   1531  10491      2      0 
 21:03:42       2    137     66      -     95     19      0      0      -      -   3615   1531  10491      2      0 
 21:03:42       3    151     63      -     95     20      0      0      -      -   3615   1531  10491      2      0 
 21:04:12       0    149     68      -     93     17      0      0      -      -   3615   1531  10491      2      0 
 21:04:12       1    131     67      -     93     17      0      0      -      -   3615   1531  10491      2      0 
 21:04:12       2    138     66      -     95     18      0      0      -      -   3615   1531  10491      2      0 
 21:04:12       3    141     63      -     95     17      0      0      -      -   3615   1531  10491      2      0 
 21:04:42       0    137     68      -     76     14      0      0      -      -   3615   1531  10491      2      0 
 21:04:42       1    152     67      -     75     15      0      0      -      -   3615   1531  10491      2      0 
 21:04:42       2    135     66      -     80     14      0      0      -      -   3615   1531  10491      2      0 
 21:04:42       3    139     63      -     96     17      0      0      -      -   3615   1531  10491      2      0 
 21:05:12       0    167     69      -     93     18      0      0      -      -   3615   1531  10491      2      0 
 21:05:12       1    161     67      -     93     17      0      0      -      -   3615   1531  10491      2      0 
 21:05:12       2    145     67      -     96     17      0      0      -      -   3615   1531  10491      2      0 
 21:05:12       3    137     64      -     95     18      0      0      -      -   3615   1531  10491      2      0 
 21:05:42       0    139     69      -     93     17      0      0      -      -   3615   1531  10491      2      0 
 21:05:42       1    152     68      -     93     17      0      0      -      -   3615   1531  10491      2      0 
 21:05:42       2    136     67      -     97     15      0      0      -      -   3615   1531  10491      2      0 
 21:05:42       3    148     64      -     96     17      0      0      -      -   3615   1531  10491      2      0 
 21:06:12       0    156     69      -     94     17      0      0      -      -   3615   1531  10491      2      0 
 21:06:12       1    166     68      -     93     17      0      0      -      -   3615   1531  10491      2      0 
 21:06:12       2    167     67      -     97     13      0      0      -      -   3615   1531  10491      2      0 
 21:06:12       3    166     64      -     96     16      0      0      -      -   3615   1531  10491      2      0 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 21:06:42       0    163     70      -     95     14      0      0      -      -   3615   1531  10491      2      0 
 21:06:42       1    146     68      -     95     13      0      0      -      -   3615   1531  10491      2      0 
 21:06:42       2    142     67      -     96     17      0      0      -      -   3615   1531  10491      2      0 
 21:06:42       3    149     65      -     96     15      0      0      -      -   3615   1531  10491      2      0 
 21:07:12       0    143     70      -     95     15      0      0      -      -   3615   1531  10491      2      0 
 21:07:12       1    137     69      -     94     16      0      0      -      -   3615   1531  10491      2      0 
 21:07:12       2    125     68      -     97     14      0      0      -      -   3615   1531  10491      2      0 
 21:07:12       3    142     65      -     96     16      0      0      -      -   3615   1531  10491      2      0 
 21:07:42       0    170     70      -     94     15      0      0      -      -   3615   1531  10491      2      0 
 21:07:42       1    176     69      -     94     15      0      0      -      -   3615   1531  10491      2      0 
 21:07:42       2    176     68      -     96     15      0      0      -      -   3615   1531  10491      2      0 
 21:07:42       3    172     65      -     96     16      0      0      -      -   3615   1531  10491      2      0 
 21:08:12       0    133     71      -     94     15      0      0      -      -   3615   1531  10491      2      0 
 21:08:12       1    122     69      -     94     15      0      0      -      -   3615   1531  10491      2      0 
 21:08:12       2    151     68      -     96     15      0      0      -      -   3615   1531  10491      2      0 
 21:08:12       3    159     65      -     96     15      0      0      -      -   3615   1531  10491      2      0 
 21:08:42       0    171     71      -     95     15      0      0      -      -   3615   1531  10491      2      0 
 21:08:42       1    171     69      -     95     13      0      0      -      -   3615   1531  10491      2      0 
 21:08:42       2    166     68      -     97     13      0      0      -      -   3615   1531  10491      2      0 
 21:08:42       3    141     66      -     97     13      0      0      -      -   3615   1531  10491      2      0 
 21:09:12       0    167     71      -     96     14      0      0      -      -   3615   1531  10491      2      0 
 21:09:12       1    164     70      -     94     15      0      0      -      -   3615   1531  10491      2      0 
 21:09:12       2    147     69      -     97     14      0      0      -      -   3615   1531  10491      2      0 
 21:09:12       3    133     66      -     96     15      0      0      -      -   3615   1531  10491      2      0 
 21:09:42       0    126     71      -     95     14      0      0      -      -   3615   1531  10491      2      0 
 21:09:42       1    134     70      -     95     13      0      0      -      -   3615   1531  10491      2      0 
 21:09:42       2    144     69      -     97     13      0      0      -      -   3615   1531  10491      2      0 
 21:09:42       3    153     66      -     97     14      0      0      -      -   3615   1531  10491      2      0 
 21:10:12       0    169     71      -     96     13      0      0      -      -   3615   1531  10491      2      0 
 21:10:12       1    175     70      -     95     13      0      0      -      -   3615   1531  10491      2      0 
 21:10:12       2    176     69      -     97     13      0      0      -      -   3615   1531  10491      2      0 
 21:10:12       3    172     66      -     97     13      0      0      -      -   3615   1531  10491      2      0 
 21:10:42       0     67     71      -     68      6      0      0      -      -   3615   1531  10491      2      0 
 21:10:42       1     68     70      -     68      6      0      0      -      -   3615   1531  10491      2      0 
 21:10:42       2     72     69      -     69      6      0      0      -      -   3615   1531  10491      2      0 
 21:10:42       3     97     66      -     69      6      0      0      -      -   3615   1531  10491      2      0 
 21:11:12       0    179     72      -     96     13      0      0      -      -   3615   1531  10491      2      0 
 21:11:12       1    185     70      -     95     13      0      0      -      -   3615   1531  10491      2      0 
 21:11:12       2    183     69      -     97     13      0      0      -      -   3615   1531  10491      2      0 
 21:11:12       3    177     66      -     97     13      0      0      -      -   3615   1531  10491      2      0 
 21:11:42       0    144     71      -     96     13      0      0      -      -   3615   1531  10491      2      0 
 21:11:42       1    139     70      -     96     12      0      0      -      -   3615   1531  10491      2      0 
 21:11:42       2    127     69      -     97     13      0      0      -      -   3615   1531  10491      2      0 
 21:11:42       3    156     66      -     97     13      0      0      -      -   3615   1531  10491      2      0 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 21:12:12       0     67     71      -     96     13      0      0      -      -   3615   1531  10491      2      0 
 21:12:12       1     68     70      -     95     14      0      0      -      -   3615   1531  10491      2      0 
 21:12:12       2     72     69      -     97     13      0      0      -      -   3615   1531  10491      2      0 
 21:12:12       3     66     66      -     97     13      0      0      -      -   3615   1531  10491      2      0 
 21:12:42       0    176     71      -     96     13      0      0      -      -   3615   1531  10491      2      0 
 21:12:42       1    183     70      -     95     13      0      0      -      -   3615   1531  10491      2      0 
 21:12:42       2    182     69      -     98     13      0      0      -      -   3615   1531  10491      2      0 
 21:12:42       3    179     66      -     97     13      0      0      -      -   3615   1531  10491      2      0 
 21:13:12       0    178     71      -     96     13      0      0      -      -   3615   1531  10491      2      0 
 21:13:12       1    184     70      -     95     14      0      0      -      -   3615   1531  10491      2      0 
 21:13:12       2    183     69      -     97     13      0      0      -      -   3615   1531  10491      2      0 
 21:13:12       3    180     66      -     97     14      0      0      -      -   3615   1531  10491      2      0 
 21:13:42       0    165     71      -     84     11      0      0      -      -   3615   1531  10491      2      0 
 21:13:42       1    145     70      -     70     11      0      0      -      -   3615   1531  10491      2      0 
 21:13:42       2    137     69      -     98     13      0      0      -      -   3615   1531  10491      2      0 
 21:13:42       3    145     66      -     82     10      0      0      -      -   3615   1531  10491      2      0 
 21:14:12       0    137     71      -     97     11      0      0      -      -   3615   1531  10491      2      0 
 21:14:12       1    138     70      -     96     11      0      0      -      -   3615   1531  10491      2      0 
 21:14:12       2    147     69      -     97     13      0      0      -      -   3615   1531  10491      2      0 
 21:14:12       3    149     66      -     98     11      0      0      -      -   3615   1531  10491      2      0 
 21:14:42       0    160     71      -     37      3      0      0      -      -   3615   1531  10491      2      0 
 21:14:42       1    153     70      -     46      4      0      0      -      -   3615   1531  10491      2      0 
 21:14:42       2    137     69      -     24      4      0      0      -      -   3615   1531  10491      2      0 
 21:14:42       3    143     66      -     80      6      0      0      -      -   3615   1531  10491      2      0 
 21:15:12       0    169     71      -     95     13      0      0      -      -   3615   1531  10491      2      0 
 21:15:12       1    175     70      -     97     12      0      0      -      -   3615   1531  10491      2      0 
 21:15:12       2    175     69      -     97     12      0      0      -      -   3615   1531  10491      2      0 
 21:15:12       3    174     66      -     98     11      0      0      -      -   3615   1531  10491      2      0 
 21:15:42       0    154     71      -     97     10      0      0      -      -   3615   1531  10491      2      0 
 21:15:42       1    134     70      -     96     10      0      0      -      -   3615   1531  10491      2      0 
 21:15:42       2    145     68      -     98     11      0      0      -      -   3615   1531  10491      2      0 
 21:15:42       3    147     66      -     97     10      0      0      -      -   3615   1531  10491      2      0 
 21:16:12       0    132     71      -     96     13      0      0      -      -   3615   1531  10491      2      0 
 21:16:12       1    146     70      -     95     13      0      0      -      -   3615   1531  10491      2      0 
 21:16:12       2    140     68      -     97     13      0      0      -      -   3615   1531  10491      2      0 
 21:16:12       3    119     66      -     97     11      0      0      -      -   3615   1531  10491      2      0 
 21:16:42       0    139     71      -     95     13      0      0      -      -   3615   1531  10491      2      0 
 21:16:42       1    164     70      -     95     13      0      0      -      -   3615   1531  10491      2      0 
 21:16:42       2    147     69      -     97     13      0      0      -      -   3615   1531  10491      2      0 
 21:16:42       3    126     66      -     98     11      0      0      -      -   3615   1531  10491      2      0 
 21:17:12       0    185     72      -     96     14      0      0      -      -   3615   1531  10491      2      0 
 21:17:12       1    188     70      -     96     14      0      0      -      -   3615   1531  10491      2      0 
 21:17:12       2    189     69      -     97     14      0      0      -      -   3615   1531  10491      2      0 
 21:17:12       3    182     66      -     97     15      0      0      -      -   3615   1531  10491      2      0 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 21:17:42       0     67     71      -     95      7      0      0      -      -   3615   1531  10491      2      0 
 21:17:42       1     68     70      -     98      9      0      0      -      -   3615   1531  10491      2      0 
 21:17:42       2     72     69      -     98     12      0      0      -      -   3615   1531  10491      2      0 
 21:17:42       3     66     66      -     99     10      0      0      -      -   3615   1531  10491      2      0 
 21:18:12       0    184     71      -     97      9      0      0      -      -   3615   1531  10491      2      0 
 21:18:12       1    186     70      -     98     10      0      0      -      -   3615   1531  10491      2      0 
 21:18:12       2    185     69      -     98      9      0      0      -      -   3615   1531  10491      2      0 
 21:18:12       3    182     66      -     96     13      0      0      -      -   3615   1531  10491      2      0 
 21:18:42       0    133     72      -     95     14      0      0      -      -   3615   1531  10491      2      0 
 21:18:42       1    167     70      -     95     14      0      0      -      -   3615   1531  10491      2      0 
 21:18:42       2    155     69      -     98      8      0      0      -      -   3615   1531  10491      2      0 
 21:18:42       3    130     66      -     97     13      0      0      -      -   3615   1531  10491      2      0 
 21:19:12       0    183     71      -     96     13      0      0      -      -   3615   1531  10491      2      0 
 21:19:12       1    186     70      -     94     14      0      0      -      -   3615   1531  10491      2      0 
 21:19:12       2    184     69      -     96     13      0      0      -      -   3615   1531  10491      2      0 
 21:19:12       3    180     66      -     96     13      0      0      -      -   3615   1531  10491      2      0 
 21:19:42       0    160     72      -     96     13      0      0      -      -   3615   1531  10491      2      0 
 21:19:42       1    145     70      -     96     14      0      0      -      -   3615   1531  10491      2      0 
 21:19:42       2    135     69      -     97     13      0      0      -      -   3615   1531  10491      2      0 
 21:19:42       3    146     66      -     97     13      0      0      -      -   3615   1531  10491      2      0 
 21:20:12       0    165     71      -     96     14      0      0      -      -   3615   1531  10491      2      0 
 21:20:12       1    168     70      -     96     12      0      0      -      -   3615   1531  10491      2      0 
 21:20:12       2    165     69      -     97     13      0      0      -      -   3615   1531  10491      2      0 
 21:20:12       3    157     66      -     98     10      0      0      -      -   3615   1531  10491      2      0 
 21:20:42       0     66     71      -     61      5      0      0      -      -   3615   1531  10491      2      0 
 21:20:42       1     67     69      -     80      6      0      0      -      -   3615   1531  10491      2      0 
 21:20:42       2     72     68      -     55      5      0      0      -      -   3615   1531  10491      2      0 
 21:20:42       3     66     65      -     80      7      0      0      -      -   3615   1531  10491      2      0 
 21:21:13       0    137     71      -     98      7      0      0      -      -   3615   1531  10491      2      0 
 21:21:13       1    156     69      -     98      7      0      0      -      -   3615   1531  10491      2      0 
 21:21:13       2    144     68      -     97     10      0      0      -      -   3615   1531  10491      2      0 
 21:21:13       3    134     66      -     99      7      0      0      -      -   3615   1531  10491      2      0 
 21:21:43       0    163     71      -     96     14      0      0      -      -   3615   1531  10491      2      0 
 21:21:43       1    160     70      -     96     14      0      0      -      -   3615   1531  10491      2      0 
 21:21:43       2    147     69      -     97     13      0      0      -      -   3615   1531  10491      2      0 
 21:21:43       3    125     66      -     97     13      0      0      -      -   3615   1531  10491      2      0 
 21:22:13       0    134     71      -     97     12      0      0      -      -   3615   1531  10491      2      0 
 21:22:13       1    146     70      -     96     13      0      0      -      -   3615   1531  10491      2      0 
 21:22:13       2    167     69      -     97     13      0      0      -      -   3615   1531  10491      2      0 
 21:22:13       3    126     66      -     97     13      0      0      -      -   3615   1531  10491      2      0 
 21:22:43       0    151     71      -     98      9      0      0      -      -   3615   1531  10491      2      0 
 21:22:43       1    144     70      -     97     11      0      0      -      -   3615   1531  10491      2      0 
 21:22:43       2    128     68      -     99      7      0      0      -      -   3615   1531  10491      2      0 
 21:22:43       3    134     66      -     98     12      0      0      -      -   3615   1531  10491      2      0 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 21:23:13       0    134     71      -     94     13      0      0      -      -   3615   1531  10491      2      0 
 21:23:13       1    122     70      -     99      6      0      0      -      -   3615   1531  10491      2      0 
 21:23:13       2    152     69      -     99      9      0      0      -      -   3615   1531  10491      2      0 
 21:23:13       3    140     66      -     99      7      0      0      -      -   3615   1531  10491      2      0 
 21:23:43       0    130     71      -     98      9      0      0      -      -   3615   1531  10491      2      0 
 21:23:43       1    144     70      -     96     13      0      0      -      -   3615   1531  10491      2      0 
 21:23:43       2    148     69      -     99      8      0      0      -      -   3615   1531  10491      2      0 
 21:23:43       3    125     66      -     98     12      0      0      -      -   3615   1531  10491      2      0 
 21:24:13       0    183     71      -     95     14      0      0      -      -   3615   1531  10491      2      0 
 21:24:13       1    185     70      -     96     13      0      0      -      -   3615   1531  10491      2      0 
 21:24:13       2    186     69      -     98     11      0      0      -      -   3615   1531  10491      2      0 
 21:24:13       3    181     66      -     97     14      0      0      -      -   3615   1531  10491      2      0 
 21:24:43       0    182     70      -     91      7      0      0      -      -   3615   1531  10491      2      0 
 21:24:43       1    183     69      -     52      4      0      0      -      -   3615   1531  10491      2      0 
 21:24:43       2    180     68      -     62      5      0      0      -      -   3615   1531  10491      2      0 
 21:24:43       3    178     65      -     49      4      0      0      -      -   3615   1531  10491      2      0 
 21:25:13       0    184     71      -     96     13      0      0      -      -   3615   1531  10491      2      0 
 21:25:13       1    190     70      -     95     14      0      0      -      -   3615   1531  10491      2      0 
 21:25:13       2    189     69      -     97     14      0      0      -      -   3615   1531  10491      2      0 
 21:25:13       3    183     66      -     97     14      0      0      -      -   3615   1531  10491      2      0 
 21:25:43       0    182     71      -     96     13      0      0      -      -   3615   1531  10491      2      0 
 21:25:43       1    187     70      -     96     12      0      0      -      -   3615   1531  10491      2      0 
 21:25:43       2    185     69      -     97     14      0      0      -      -   3615   1531  10491      2      0 
 21:25:43       3    180     66      -     98     11      0      0      -      -   3615   1531  10491      2      0 
 21:26:13       0     66     70      -     51      4      0      0      -      -   3615   1531  10491      2      0 
 21:26:13       1     87     69      -     59      5      0      0      -      -   3615   1531  10491      2      0 
 21:26:13       2    124     68      -     38      4      0      0      -      -   3615   1531  10491      2      0 
 21:26:13       3    131     65      -     17      0      0      0      -      -   3615   1531  10491      2      0 
 21:26:43       0    178     71      -     99      7      0      0      -      -   3615   1531  10491      2      0 
 21:26:43       1    182     70      -     98      8      0      0      -      -   3615   1531  10491      2      0 
 21:26:43       2    184     68      -     99      8      0      0      -      -   3615   1531  10491      2      0 
 21:26:43       3    178     66      -     97     13      0      0      -      -   3615   1531  10491      2      0 
 21:27:13       0    182     71      -     94     14      0      0      -      -   3615   1531  10491      2      0 
 21:27:13       1    185     70      -     96     12      0      0      -      -   3615   1531  10491      2      0 
 21:27:13       2    186     69      -     96     13      0      0      -      -   3615   1531  10491      2      0 
 21:27:13       3    180     66      -     96     10      0      0      -      -   3615   1531  10491      2      0 
 21:27:43       0    127     71      -     98      9      0      0      -      -   3615   1531  10491      2      0 
 21:27:43       1    168     70      -     97     11      0      0      -      -   3615   1531  10491      2      0 
 21:27:43       2    151     69      -     96     14      0      0      -      -   3615   1531  10491      2      0 
 21:27:43       3    130     66      -     98     13      0      0      -      -   3615   1531  10491      2      0 
 21:28:13       0    150     71      -     96     14      0      0      -      -   3615   1531  10491      2      0 
 21:28:13       1    155     70      -     98      6      0      0      -      -   3615   1531  10491      2      0 
 21:28:13       2    137     69      -     97     13      0      0      -      -   3615   1531  10491      2      0 
 21:28:13       3    133     66      -    100      5      0      0      -      -   3615   1531  10491      2      0 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 21:28:43       0    137     71      -     96     13      0      0      -      -   3615   1531  10491      2      0 
 21:28:43       1    121     70      -     96     13      0      0      -      -   3615   1531  10491      2      0 
 21:28:43       2    146     69      -    100      8      0      0      -      -   3615   1531  10491      2      0 
 21:28:43       3    160     66      -     99      6      0      0      -      -   3615   1531  10491      2      0 
 21:29:13       0    132     71      -    100      6      0      0      -      -   3615   1531  10491      2      0 
 21:29:13       1    126     70      -     99      7      0      0      -      -   3615   1531  10491      2      0 
 21:29:13       2    157     69      -    100      5      0      0      -      -   3615   1531  10491      2      0 
 21:29:13       3    149     66      -     99      9      0      0      -      -   3615   1531  10491      2      0 
